"date","Wilshire5000","CorpProfits","FedFundsRate","UnempRate"
1971-04-01,1.13666666666667,59.168,4.56333333333333,5.9
1971-07-01,1.11333333333333,63.18,5.47333333333333,6.03333333333333
1971-10-01,1.11333333333333,65.363,4.75,5.93333333333333
1972-01-01,1.24,69.557,3.54,5.76666666666667
1972-04-01,1.28,70.625,4.3,5.7
1972-07-01,1.29333333333333,73.82,4.74,5.56666666666667
1972-10-01,1.35666666666667,80.172,5.14333333333333,5.36666666666667
1973-01-01,1.30666666666667,91.827,6.53666666666667,4.93333333333333
1973-04-01,1.19666666666667,94.861,7.81666666666667,4.93333333333333
1973-07-01,1.24333333333333,96.553,10.56,4.8
1973-10-01,1.17666666666667,101.389,9.99666666666667,4.76666666666667
1974-01-01,1.13,107.516,9.32333333333333,5.13333333333333
1974-04-01,1.02,110.051,11.25,5.2
1974-07-01,0.833333333333333,115.248,12.09,5.63333333333333
1974-10-01,0.836666666666667,102.152,9.34666666666667,6.6
1975-01-01,0.976666666666667,89.227,6.30333333333333,8.26666666666667
1975-04-01,1.12,94.038,5.42,8.86666666666667
1975-07-01,1.07666666666667,110.647,6.16,8.46666666666667
1975-10-01,1.11666666666667,118.595,5.41333333333333,8.3
1976-01-01,1.27666666666667,126.926,4.82666666666667,7.73333333333333
1976-04-01,1.3,130.751,5.19666666666667,7.56666666666667
1976-07-01,1.33666666666667,132.928,5.28333333333333,7.73333333333333
1976-10-01,1.36333333333333,133.099,4.87333333333333,7.76666666666667
1977-01-01,1.35333333333333,143.947,4.66,7.5
1977-04-01,1.36,152.787,5.15666666666667,7.13333333333333
1977-07-01,1.36666666666667,159.235,5.82,6.9
1977-10-01,1.35333333333333,160.239,6.51333333333333,6.66666666666667
1978-01-01,1.31333333333333,165.635,6.75666666666667,6.33333333333333
1978-04-01,1.46666666666667,184.134,7.28333333333333,6
1978-07-01,1.59333333333333,190.459,8.1,6.03333333333333
1978-10-01,1.47666666666667,201.979,9.58333333333333,5.9
1979-01-01,1.59333333333333,204.314,10.0733333333333,5.86666666666667
1979-04-01,1.68,212.081,10.18,5.7
1979-07-01,1.82666666666667,216.244,10.9466666666667,5.86666666666667
1979-10-01,1.87954545454545,211.864,13.5766666666667,5.96666666666667
1980-01-01,1.96112903225806,211.616,15.0466666666667,6.3
1980-04-01,1.93063492063492,182.422,12.6866666666667,7.33333333333333
1980-07-01,2.2534375,191.246,9.83666666666667,7.66666666666667
1980-10-01,2.48587301587302,196.987,15.8533333333333,7.4
1981-01-01,2.4708064516129,200.194,16.57,7.43333333333333
1981-04-01,2.57349206349206,188.042,17.78,7.4
1981-07-01,2.4684375,192.364,17.5766666666667,7.4
1981-10-01,2.4190625,188.543,13.5866666666667,8.23333333333333
1982-01-01,2.25725806451613,168.344,14.2266666666667,8.83333333333333
1982-04-01,2.2731746031746,169.656,14.5133333333333,9.43333333333333
1982-07-01,2.2846875,165.336,11.0066666666667,9.9
1982-10-01,2.7996875,159.978,9.28666666666667,10.6666666666667
1983-01-01,3.09126984126984,162.242,8.65333333333333,10.3666666666667
1983-04-01,3.48825396825397,181.458,8.80333333333333,10.1333333333333
1983-07-01,3.59296875,192.235,9.46,9.36666666666667
1983-10-01,3.58428571428571,197.022,9.43,8.53333333333333
1984-01-01,3.45968253968254,204.66,9.68666666666667,7.86666666666667
1984-04-01,3.36222222222222,205.213,10.5566666666667,7.43333333333333
1984-07-01,3.49444444444444,195.965,11.39,7.43333333333333
1984-10-01,3.62765625,196.999,9.26666666666667,7.3
1985-01-01,3.96403225806452,186.592,8.47666666666667,7.23333333333333
1985-04-01,4.18539682539683,187.689,7.92333333333333,7.3
1985-07-01,4.33222222222222,192.366,7.9,7.2
1985-10-01,4.5346875,194.325,8.10333333333333,7.03333333333333
1986-01-01,5.12967213114754,158.1,7.82666666666667,7.03333333333333
1986-04-01,5.67125,155.037,6.92,7.16666666666667
1986-07-01,5.673125,154.199,6.20666666666667,6.96666666666667
1986-10-01,5.708125,158.74,6.26666666666667,6.83333333333333
1987-01-01,6.57258064516129,170.668,6.22,6.6
1987-04-01,6.87301587301587,197.663,6.65,6.26666666666667
1987-07-01,7.45171875,212.146,6.84333333333333,6
1987-10-01,5.974375,220.921,6.91666666666667,5.83333333333333
1988-01-01,6.15396825396825,232.899,6.66333333333333,5.7
1988-04-01,6.38936507936508,248.551,7.15666666666667,5.46666666666667
1988-07-01,6.54765625,247.13,7.98333333333333,5.46666666666667
1988-10-01,6.73825396825397,258.325,8.47,5.33333333333333
1989-01-01,7.20129032258065,253.915,9.44333333333333,5.2
1989-04-01,7.83953125,246.582,9.72666666666667,5.23333333333333
1989-07-01,8.57111111111111,236.422,9.08333333333333,5.23333333333333
1989-10-01,8.67142857142857,236.425,8.61333333333333,5.36666666666667
1990-01-01,8.43984126984127,246.297,8.25,5.3
1990-04-01,8.76095238095238,259.134,8.24333333333333,5.33333333333333
1990-07-01,8.41492063492064,263.512,8.16,5.7
1990-10-01,7.88453125,265.565,7.74333333333333,6.13333333333333
1991-01-01,8.95688524590164,281.813,6.42666666666667,6.6
1991-04-01,9.8,288.67,5.86333333333333,6.83333333333333
1991-07-01,10.0715625,294.296,5.64333333333333,6.86666666666667
1991-10-01,10.29609375,298.127,4.81666666666667,7.1
1992-01-01,11.1855555555556,310.814,4.02333333333333,7.36666666666667
1992-04-01,11.042380952381,323.369,3.77,7.6
1992-07-01,11.24765625,307.005,3.25666666666667,7.63333333333333
1992-10-01,11.63296875,314.304,3.03666666666667,7.36666666666667
1993-01-01,12.3564516129032,312.544,3.04,7.13333333333333
1993-04-01,12.498253968254,327.311,3,7.06666666666667
1993-07-01,12.9440625,340.193,3.06,6.8
1993-10-01,13.360625,359.593,2.99,6.63333333333333
1994-01-01,13.6274603174603,386.378,3.21333333333333,6.56666666666667
1994-04-01,13.105,398.84,3.94,6.2
1994-07-01,13.4309375,418.796,4.48666666666667,6
1994-10-01,13.4652380952381,430.238,5.16666666666667,5.63333333333333
1995-01-01,14.1049206349206,444.779,5.81,5.46666666666667
1995-04-01,15.3914285714286,467.438,6.02,5.66666666666667
1995-07-01,16.8819047619048,475.099,5.79666666666667,5.66666666666667
1995-10-01,17.8179365079365,482.337,5.72,5.56666666666667
1996-01-01,18.9865079365079,505.031,5.36333333333333,5.53333333333333
1996-04-01,20.0301587301587,506.933,5.24333333333333,5.5
1996-07-01,19.911875,502.58,5.30666666666667,5.26666666666667
1996-10-01,21.78125,514.542,5.28,5.33333333333333
1997-01-01,23.3929508196721,526.749,5.27666666666667,5.23333333333333
1997-04-01,24.3059375,544.801,5.52333333333333,5
1997-07-01,27.8165625,566.394,5.53333333333333,4.86666666666667
1997-10-01,28.78296875,567.92,5.50666666666667,4.66666666666667
1998-01-01,30.7845901639344,488.241,5.52,4.63333333333333
1998-04-01,33.2820634920635,485.681,5.5,4.4
1998-07-01,31.92984375,481.001,5.53333333333333,4.53333333333333
1998-10-01,32.6240625,463.922,4.86,4.43333333333333
1999-01-01,36.8544262295082,493.066,4.73333333333333,4.3
1999-04-01,39.0542857142857,507.569,4.74666666666667,4.26666666666667
1999-07-01,39.43296875,505.729,5.09333333333333,4.23333333333333
1999-10-01,40.97421875,523.087,5.30666666666667,4.06666666666667
2000-01-01,44.3539682539683,496.983,5.67666666666667,4.03333333333333
2000-04-01,43.66,488.861,6.27333333333333,3.93333333333333
2000-07-01,45.0476190476191,481.941,6.52,4
2000-10-01,41.3096825396825,460.193,6.47333333333333,3.9
2001-01-01,38.3866129032258,494.893,5.59333333333333,4.23333333333333
2001-04-01,37.3630158730159,520.233,4.32666666666667,4.4
2001-07-01,35.1472881355932,475.296,3.49666666666667,4.83333333333333
2001-10-01,34.0275,458.938,2.13333333333333,5.5
2002-01-01,35.0703333333333,506.787,1.73333333333333,5.7
2002-04-01,33.68265625,564.128,1.75,5.83333333333333
2002-07-01,28.29953125,620.409,1.74,5.73333333333333
2002-10-01,28.07890625,695.087,1.44333333333333,5.86666666666667
2003-01-01,27.4608196721311,689.949,1.25,5.86666666666667
2003-04-01,30.2185714285714,692.004,1.24666666666667,6.13333333333333
2003-07-01,32.80546875,733.418,1.01666666666667,6.13333333333333
2003-10-01,35.07359375,787.367,0.996666666666667,5.83333333333333
2004-01-01,37.8479032258065,901.867,1.00333333333333,5.7
2004-04-01,37.6406451612903,939.71,1.01,5.6
2004-07-01,37.04828125,978.788,1.43333333333333,5.43333333333333
2004-10-01,39.564375,973.699,1.95,5.43333333333333
2005-01-01,40.8577049180328,1185.827,2.47,5.3
